PROCEDIMENTO,,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
ACONSELHAMENTO GENÉTICO,,,,AMB,HCO,HSO,REF,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIÁTRICO (COM DIRETRIZ DE UTILIZAÇÃO),,,,,HCO,HSO,REF,,109,"CONSULTAS, VISITAS HOSPITALARES OU",PROCEDIMENTOS GERAIS
"ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI)",,,,,HCO,,REF,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA,,,,,HCO,HSO,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU",PROCEDIMENTOS GERAIS
ATENDIMENTO PEDIÁTRICO A GESTANTES (3º TRIMESTRE),,,,AMB,HCO,,REF,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR,,,,AMB,,,REF,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
ATIVIDADE EDUCATIVA EM SAÚDE BUCAL,,,OD,,,,,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
ATIVIDADE EDUCATIVA EM ODONTOLOGIA PARA PAIS E/OU CUIDADORES DE PACIENTES COM NECESSIDADES,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",
ESPECIAIS,,,OD,,,,,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
CONDICIONAMENTO EM ODONTOLOGIA (COM DIRETRIZ DE UTILIZAÇÃO),,,OD,,,,,,86,"CONSULTAS, VISITAS HOSPITALARES OU",PROCEDIMENTOS GERAIS
ESTABILIZAÇÃO DE PACIENTE POR MEIO DE CONTENÇÃO FÍSICA E/OU MECÂNICA,,,OD,,,,,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR,,,,AMB,,,REF,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,,REF,,135,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM FISIOTERAPEUTA,541/2022,01/08/2022,,AMB,,,REF,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
CONSULTA MÉDICA,,,,AMB,,,REF,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA,,,OD,,,,,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA INICIAL,,,OD,,,,,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA DE URGÊNCIA,,,OD,,,,,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA PARA AVALIAÇÃO TÉCNICA DE AUDITORIA,,,OD,,,,,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM PSICÓLOGO,541/2022,01/08/2022,,AMB,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU",PROCEDIMENTOS GERAIS
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
SESSÃO COM PSICÓLOGO,541/2022,01/08/2022,,AMB,,,REF,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM FONOAUDIÓLOGO,541/2022,01/08/2022,,AMB,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU",PROCEDIMENTOS GERAIS
SESSÃO COM FONOAUDIÓLOGO,541/2022,01/08/2022,,AMB,,,REF,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,,,REF,,103,"CONSULTAS, VISITAS HOSPITALARES OU",PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,,AMB,,,REF,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
SESSÃO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,,AMB,,,REF,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
"TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MÉDICO, DO",,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",
ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDE,,,,,HCO,HSO,REF,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
VISITA HOSPITALAR,,,,,HCO,HSO,REF,,,ACOMPANHAMENTO DE PACIENTES,PROCEDIMENTOS GERAIS
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE CÓRNEA,,,,,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE MEDULA ÓSSEA,,,,,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,E HOSPITALARES
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE HEPÁTICO,546/2022,03/10/2022,,,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,E HOSPITALARES
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE RENAL,,,,,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,E HOSPITALARES
ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE HEPÁTICO NO PERÍODO DE INTERNAÇÃO DO RECEPTOR E,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
DO DOADOR,546/2022,03/10/2022,,,HCO,HSO,REF,PAC,,AVALIAÇÕES/ACOMPANHAMENTOS,E HOSPITALARES
ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE RENAL NO PERÍODO DE INTERNAÇÃO DO RECEPTOR E DO,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
DOADOR,,,,,HCO,HSO,REF,PAC,,AVALIAÇÕES/ACOMPANHAMENTOS,E HOSPITALARES
AVALIAÇÃO CLÍNICA DIARIA ENTERAL E/OU PARENTERAL,,,,,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,E HOSPITALARES
"AVALIAÇÃO CLÍNICA E ELETRÔNICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDÍACO ELETRÔNICO
IMPLANTÁVEL (MARCA-PASSO, ESTIMULADOR MULTISSÍTIO/RESSINCRONIZADOR, DESFIBRILADOR OU",,,,AMB,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
MONITOR DE EVENTOS),,,,,,,,,,,E HOSPITALARES
CARDIOVERSÃO ELÉTRICA COM ELETROCARDIOGRAMA,,,,AMB,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,E HOSPITALARES
CONTROLE DE BIOFILME DENTAL (PLACA BACTERIANA),,,OD,,,,,,,AVALIAÇÕES/ACOMPANHAMENTOS,E HOSPITALARES
"FORNECIMENTO DE EQUIPAMENTOS COLETORES E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA E
UROSTOMIA, SONDA VESICAL DE DEMORA E COLETOR DE URINA (COM PROTOCOLO DE UTILIZAÇÃO -",,,,AMB,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
PROUT),,,,,,,,,,,E HOSPITALARES
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
PROFILAXIA: POLIMENTO CORONÁRIO,,,OD,,,,,,,AVALIAÇÕES/ACOMPANHAMENTOS,E HOSPITALARES
TERAPIA ANTINEOPLÁSICA ORAL PARA TRATAMENTO DO CÂNCER (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,PAC,64,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
TESTE DE PROVOCAÇÃO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZAÇÃO),536/2022,06/05/2022,,AMB,HCO,HSO,REF,,152,AVALIAÇÕES/ACOMPANHAMENTOS,E HOSPITALARES
MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS A,,,,AMB,,,REF,PAC,54,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
